업체명(Korean),주소
케르반레스토랑 코엑스점,서울 강남구 영동대로 513 서울 강남구 영동대로 513
미스터케밥,서울 용산구 이태원로 192 서울 용산구 이태원로 192
케르반레스토랑 이태원점,서울 용산구 이태원로 190 서울 용산구 이태원로 190
이드,서울 용산구 우사단로10길 67 서울 용산구 우사단로10길 67
마칸레스토랑,서울 용산구 우사단로10길 52 서울 용산구 우사단로10길 52
쌀람,서울 용산구 우사단로10길 39 서울 용산구 우사단로10길 39
스타케이터링 ,서울 영등포구 당산로 241 서울 영등포구 당산로 241
피자치킨&KAMPUNGKU,서울 중구 퇴계로20길 25 서울 중구 퇴계로20길 25
케르반 익스프레스 GFC,서울 강남구 테헤란로 152 서울 강남구 테헤란로 152
마리무슬림푸드,서울 용산구 우사단로10길 20 서울 용산구 우사단로10길 20
술탄케밥,서울 용산구 보광로 126 서울 용산구 보광로 126
포렌 레스토랑,서울 용산구 우사단로 42 서울 용산구 우사단로 42
타지팰리스,서울 용산구 우사단로 39 서울 용산구 우사단로 39
하지,서울 용산구 우사단로10길 39 서울 용산구 우사단로10길 39
두바이,서울 용산구 이태원로 192 서울 용산구 이태원로 192
(주)파티나라하이비스,서울 중구 통일로 102 서울 중구 통일로 102
케르반 파미에스테이션점,서울 서초구 사평대로 205 서울 서초구 사평대로 205
케르반 베이커리,서울 용산구 이태원로 204 서울 용산구 이태원로 204
할랄가이즈 이태원점,서울 용산구 이태원로 187 서울 용산구 이태원로 187
할랄가이즈 강남점,서울 서초구 강남대로69길 8 서울 서초구 강남대로69길 8
할랄가이즈 홍대점,서울 마포구 양화로 161 서울 마포구 양화로 161
롯데호텔월드 룸서비스,서울 송파구 올림픽로 240 서울 송파구 올림픽로 240
발우공양,서울 종로구 우정국로 56 서울 종로구 우정국로 56
카사블랑카,서울 용산구 신흥로 33 서울 용산구 신흥로 33
파크카페 ,서울 영등포구 여의대로 8 서울 영등포구 여의대로 8
꾸스꾸스,서울 종로구 자하문로5길 16-2 서울 종로구 자하문로5길 16-2
바바인디아,서울 서초구 강남대로 359 서울 서초구 강남대로 359
포탈라레스토랑 종로점,서울 종로구 청계천로 99 서울 종로구 청계천로 99
춘자대구탕,서울 마포구 월드컵북로1길 50 서울 마포구 월드컵북로1길 50
에이큐브호텔,서울 중구 동호로35길 5 서울 중구 동호로35길 5
선사복집,서울 강동구 올림픽로 811 서울 강동구 올림픽로 811
오세계향,서울 종로구 인사동12길 14-5 서울 종로구 인사동12길 14-5
아건 레스토랑,서울 서대문구 이화여대3길 35 서울 서대문구 이화여대3길 35
루나아시아,서울 강남구 삼성로100길 15 서울 강남구 삼성로100길 15
채근담,서울 강남구 역삼로98길 23 서울 강남구 역삼로98길 23
탄두리카,서울 관악구 호암로24길 73 서울 관악구 호암로24길 73
비나 1호점,서울 동대문구 안암로24길 4 서울 동대문구 안암로24길 4
비나 2호점,서울 성북구 인촌로24길 3-42 서울 성북구 인촌로24길 3-42
베나레스 구로디지털점(룸서비스),서울 구로구 디지털로32길 79 서울 구로구 디지털로32길 79
베나레스 경희대점,서울 동대문구 회기로19길 23 서울 동대문구 회기로19길 23
베나레스 본점,서울 성북구 인촌로24길 27 서울 성북구 인촌로24길 27
두르가 여의도점,서울 영등포구 국제금융로2길 37 서울 영등포구 국제금융로2길 37
두르가 본점,서울 종로구 종로 19 서울 종로구 종로 19
두르가 종각점,서울 종로구 종로8길 5 서울 종로구 종로8길 5
키친오브인디아,서울 송파구 올림픽로 336 서울 송파구 올림픽로 336
오샬,서울 성북구 인촌로24길 6 서울 성북구 인촌로24길 6
마더인디아,서울 영등포구 국제금융로 86 서울 영등포구 국제금융로 86
델리인디아,서울 마포구 독막로9길 8 서울 마포구 독막로9길 8
럭치미,서울 영등포구 경인로 837 서울 영등포구 경인로 837
스시히로바 역삼점,서울 강남구 언주로 415 서울 강남구 언주로 415
페르시안궁전,서울 종로구 성균관로6길 9 서울 종로구 성균관로6길 9
무궁화 (롯데호텔서울),서울 중구 을지로 30 서울 중구 을지로 30
도림 (롯데호텔서울),서울 중구 을지로 30 서울 중구 을지로 30
피에르 가니에르 서울(롯데호텔서울),서울 중구 을지로 30 서울 중구 을지로 30
모모야마 (롯데호텔서울),서울 중구 을지로 30 서울 중구 을지로 30
마지,서울 종로구 자하문로5길 19 서울 종로구 자하문로5길 19
타지,서울 중구 명동길 73 서울 중구 명동길 73
인도로가는길,서울 종로구 인사동5길 20 서울 종로구 인사동5길 20
옴 레스토랑 삼청동점,서울 종로구 삼청로 129 서울 종로구 삼청로 129
옴 레스토랑 광화문점,서울 종로구 새문안로 103 서울 종로구 새문안로 103
옴 레스토랑 마포/공덕점,서울 마포구 마포대로 73 서울 마포구 마포대로 73
도원 (더 플라자호텔),서울 중구 소공로 119 서울 중구 소공로 119
세븐스퀘어(더 플라자호텔),서울 중구 소공로 119 서울 중구 소공로 119
깔리,서울 종로구 대학로11길 43 서울 종로구 대학로11길 43
패밀리아 (임페리얼팰리스 호텔),서울 강남구 언주로 640 서울 강남구 언주로 640
미가미,서울 서초구 강남대로 331 서울 서초구 강남대로 331
아시안 라이브,서울 강남구 봉은사로 524 서울 강남구 봉은사로 524
러빙헛스마일,서울 강남구 논현로6길 18 서울 강남구 논현로6길 18
그랜드 힐튼 서울 뷔페레스토랑,서울 서대문구 연희로 353 서울 서대문구 연희로 353
그랜드 힐튼 서울 에이트리움 카페,서울 서대문구 연희로 353 서울 서대문구 연희로 353
구르카 레스토랑,서울 중구 명동10길 16-1 서울 중구 명동10길 16-1
피스트,서울 구로구 경인로 662 서울 구로구 경인로 662
쉐라톤서울디큐브시티호텔 룸서비스,서울 구로구 경인로 662 서울 구로구 경인로 662
케르반 서울역점,서울 중구 퇴계로 18 서울 중구 퇴계로 18
일품당 프리미엄,서울 종로구 새문안로5가길 7 서울 종로구 새문안로5가길 7
명동정,서울 중구 삼일대로 299 서울 중구 삼일대로 299
포탈라레스토랑 홍대점,서울 마포구 월드컵북로4길 13 서울 마포구 월드컵북로4길 13
함초간장게장,서울 중구 명동8가길 27 서울 중구 명동8가길 27
신라호텔 라연,서울 중구 동호로 249 서울 중구 동호로 249
신라호텔 콘티넨탈,서울 중구 동호로 249 서울 중구 동호로 249
롯데호텔 페닌슐라 라운지,서울 중구 을지로 30 서울 중구 을지로 30
롯데호텔 라세느,서울 중구 을지로 30 서울 중구 을지로 30
롯데호텔 룸서비스,서울 중구 을지로 30 서울 중구 을지로 30
메이필드호텔 낙원,서울 강서구 방화대로 94 서울 강서구 방화대로 94
메이필드호텔 라페스타,서울 강서구 방화대로 94 서울 강서구 방화대로 94
메이필드호텔 룸서비스,서울 강서구 방화대로 94 서울 강서구 방화대로 94
아마 신촌점,서울 서대문구 연세로7길 24 서울 서대문구 연세로7길 24
아마 홍대점,서울 마포구 양화로16길 10 서울 마포구 양화로16길 10
머노까머나 대학로점,서울 종로구 창경궁로 236 서울 종로구 창경궁로 236
머노까머나 신촌점,서울 서대문구 연세로11길 13 서울 서대문구 연세로11길 13
모로코코 카페,서울 용산구 신흥로34길 5 서울 용산구 신흥로34길 5
푸드 익스체인지,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
미진,서울 마포구 동교로 213 서울 마포구 동교로 213
동원참치,서울 마포구 공덕동 467 서울 마포구 공덕동 467
여우골초밥,서울 마포구 월드컵북로1길 20 서울 마포구 월드컵북로1길 20
(주)예티,서울 마포구 와우산로18길 10 서울 마포구 와우산로18길 10
알라메종 와인 앤 다인,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
인 스타일,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
스카이킹덤 더 리본,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
옷살,서울 관악구 관악로 164 서울 관악구 관악로 164
델리팰리스,서울 강서구 공항대로 269-15 서울 강서구 공항대로 269-15
인도야시장,서울 강남구 강남대로96길 11-4 서울 강남구 강남대로96길 11-4
야미요밀,서울 마포구 양화로7길 6-5 서울 마포구 양화로7길 6-5
겐지스 한양대점,서울 성동구 사근동길 6 서울 성동구 사근동길 6
인사동 팔도집,서울 종로구 인사동12길 7 서울 종로구 인사동12길 7
헬로인디아,서울 마포구 연남로3길 9 서울 마포구 연남로3길 9
별난오리,서울 종로구 종로46길 12 서울 종로구 종로46길 12
일도씨닭갈비 광화문점,서울 중구 세종대로 136 서울 중구 세종대로 136
일도씨닭갈비 미아점,서울 강북구 도봉로10가길 8-13 서울 강북구 도봉로10가길 8-13
일도씨닭갈비 방배점,서울 서초구 방배로8길 4 서울 서초구 방배로8길 4
일도씨닭갈비 목동점,서울 양천구 목동동로 293 서울 양천구 목동동로 293
러빙헛 카페,서울 강남구 개포로22길 35 서울 강남구 개포로22길 35
세종마을 치킨,서울 종로구 자하문로1길 24-1 서울 종로구 자하문로1길 24-1
